AVzAZOUlmhia5XS5OxXx	I ' m at Yuri Restaurante in Sao Paulo , São Paulo https://t.co/4SegFrx4IU 	 Nao
AVzAYelnmhia5XS5N78O	I ' m at Fatto Pasta & amp ; Gastronomia in Arujá , São Paulo https://t.co/lYjula5aTm https://t.co/n971HaNj45 	 Nao
AVzAYruPmhia5XS5OLvO	@SporTV Gol Puskas do Dudu com direito a Cobertura e Chocolate no São Paulo . 	 Sim
AVzAY0jTmhia5XS5OWG1	Samsara Blues Experiment hipnotiza fãs em São Paulo , saiba mais nesse link : https://t.co/gmHid44Syd 	 Nao
AVzAaY_omhia5XS5QGQL	o primeiro chupa cu é avistado em são paulo https://t.co/a5mkhti6Cr 	 Nao
AVzAZWZxmhia5XS5O6IA	@natahlayb queria ir p curitiba ou sao paulo mas poxa vida 	 Nao
AVzAZElHmhia5XS5OnXx	Gostei de um vídeo @YouTube de @redecontinua https://t.co/Rm36IoPWvo PAULISTÃO : PALMEIRAS x SÃO PAULO 	 Sim
AVzAZn_zmhia5XS5POAd	Diretor de marketing do São Paulo diz que muitas empresas querem apoiar o clube https://t.co/DWTgEZd4b0 	 Sim
AVzAYPuUmhia5XS5Nq4k	Todos os gols de Dudu de cobertura foram contra o São Paulo kkkkkkkkk 	 Sim
AVzAZAgQmhia5XS5Oicc	@mlktete Coloca no jogo do São Paulo . Show do Luiz Araújo 	 Sim
AVzAYIXqmhia5XS5Niyt	Chácara em Mairinque Ótima oportunidade - Terrenos , sítios e fazendas - Vila Reg Feijó , São Paulo | OLX https://t.co/M30CJ0jjuo 	 Nao
AVzAaHgFmhia5XS5PyxY	I ' m at Higas Supermercados in São Paulo https://t.co/t7enfd3X3i 	 Nao
AVzAZy55mhia5XS5PaqE	Ser São Paulo é bom demais ! Obrigada 	 Sim
AVzAZ9LAmhia5XS5Pmxy	Esse é pra quem não conhece o melhor Carnaval de São Paulo - Oba Festival 2017 - Votuporanga SP https://t.co/SiRVgF8ksN 	 Nao
AVzAYfhumhia5XS5N9Kq	Aparentemente estão tentando sabotar minha viagem ao rio , me fazendo propostas em São Paulo . SOCORRO . To indecisa agora . 	 Nao
AVzAaMfamhia5XS5P3-A	Gostei de um vídeo @YouTube https://t.co/38381veeAE no Bloco Domingo Ela Não Vai em São Paulo 	 Nao
AVzAZqdNmhia5XS5PRG8	I ' m at Sabor da Praça in São Paulo https://t.co/oGHCyfLPFg 	 Nao
AVzAZdfAmhia5XS5PB27	#COUNTDOWN / / 09 MAR 2017 20 dias para o Desligamento do Sinal Analógico de TV na região da cidade de São Paulo . https://t.co/sYDgNuPkdE 	 Nao
AVzAZFeMmhia5XS5Ooqj	Dani Alves diz que ainda quer vestir camisa do São Paulo e voltar ao Bahia via @UOLEsporte @UOL https://t.co/xn4W6xAKn7 	 Sim
AVzAYmVkmhia5XS5OEzd	Um dia no parque aquático ... E a volta em LOST @ Wet ' n Wild - São Paulo https://t.co/xoRHWF9bl4 	 Nao
AVzAYHpRmhia5XS5Nh1v	I ' m at Aeroporto Internacional de São Paulo / Guarulhos - @gruairportsp in Guarulhos , São Paulo https://t.co/VixxMkonal 	 Nao
AVzAZ5hNmhia5XS5Phy_	Ontem fui ver a performance da querida Estela Lapponi ali no centro de São Paulo . Encontrei um punhado de gente ... https://t.co/OFhft1tp3H 	 Nao
AVzAZaZZmhia5XS5O-gw	Palmeiras x São Paulo https://t.co/XX78RNWsao 	 Sim
AVzAZsyOmhia5XS5PUC8	ACADEMIOS DO TATUAPE campeã do carnaval de São Paulo !!! Parabéns ! 	 Nao
AVzAZFA-mhia5XS5OoEk	VAMOS SÃO PAULO 🇾 🇪 	 Sim
AVzAYsgOmhia5XS5OMY3	I ' m at @CinemarkOficial for Logan in São Paulo , SP https://t.co/RwgMPHB8nL 	 Nao
AVzAZTuzmhia5XS5O3Ar	\ m / Cool !!! ( @ General Pub in São Paulo , SP ) https://t.co/55Ng4njOAw https://t.co/QRrvfoN9KR 	 Nao
AVzAZgXamhia5XS5PFp9	Hoje estarei em São Paulo na academia Fami FitnessFami dando uma aula de expressão feminina para comemorar o ... https://t.co/aOVG1Zukef 	 Nao
AVzAYxpKmhia5XS5OSV0	Alemã apresenta em São Paulo versão teatral de filme de Fassbinder https://t.co/y85pM20XUG 	 Nao
AVzAZLQ2mhia5XS5OuUr	Vagas p / Promotor / Representante - Instacarro - São Paulo / SP - https://t.co/fRGo7oNUnm 	 Nao
AVzAZWCQmhia5XS5O5ns	das certezas da vida : São Paulo tomar gol de cobertura do Palmeiras https://t.co/avgYh5j7xf 	 Sim
AVzAZZbvmhia5XS5O93i	1 caminhoneiro que trafegam com caminhões sem escapamento destroem a saúde e o Meio Ambiente em São Paulo @geraldoalckmin_ @jdoriajr 	 Nao
AVzAaUMQmhia5XS5QBed	RT @monitor_sur #LookingForNews . & gt ; & gt ; JORNAL OGLOBO #Brasil Segundo dia de desfile das escolas de São Paulo é marc ... https://t.co/KMnKhplx2G 	 Nao
AVzAaF5wmhia5XS5PwnS	Tô em São Paulo , perto do Rio Tietê 	 Nao
AVzAYQ1amhia5XS5NsRq	Pra você : Emprego nutricionista ( responsável técnico ) , São Paulo – SP https://t.co/YQZdnrVPPb #empregonoagro 	 Nao
AVzAYMrEmhia5XS5Nm4D	Vitoriano está agora no Campus São Paulo ! Quer encontrar com ele ? https://t.co/CecuDAC1AW #CampusSaoPaulo https://t.co/1h17wgY8xm 	 Nao
AVzAZECUmhia5XS5OmvO	Real Time - São Paulo às 18h15 : Globo 24.8 , Record 7.9 , SBT 4.7 , Band 3.3 #ApuraçãoSP #SolNascente #CidadeAlerta #BrasilUrgente 	 Nao
AVzAYb_jmhia5XS5N5IP	I ' m at @SmartFitOficial in São Paulo , SP https://t.co/fIcieKEQ38 	 Nao
AVzAZrI-mhia5XS5PR_d	partiu 5 horas de viagem até são paulo me paga uma cerveja oportunidade unica https://t.co/OxrPho02yB 	 Nao
AVzAaXySmhia5XS5QErN	Falo isso até eu conhecer Londres ou Paris e Montreal , mas amo São Paulo 	 Nao
AVzAZjq6mhia5XS5PJ5s	Partiu eu e Débora rumo a São Paulo em busca da vitória na casa de Deus no Brás . https://t.co/T7f3wSlcqw https://t.co/k5Ie38ShNi 	 Nao
AVzAZKeWmhia5XS5OtXG	#AceleraSP – O Prefeito de São Paulo honrando contratos irresponsáveis e sem sentido do Haddad ( afinal , Fernando ... https://t.co/N2f9cwQtUq 	 Nao
AVzAZzB0mhia5XS5Pa2a	zaga do São Paulo ta ruim sei que tem mimimimi não deu um chute no gol gambá kkkkkkkkkkkkkk me respeita né 	 Sim
AVzAYoyymhia5XS5OH9r	Jornal Folha de São Paulo registra trabalho de recuperação de Pedrinhas https://t.co/brxOS8GMou 	 Nao
AVzAYH0Fmhia5XS5NiDE	Calma , São Paulo quando faz 2-0 sempre toma um então tá tudo dentro dos conformes 	 Sim
AVzAYVXXmhia5XS5Nw_2	Que que eu tinha na cabeça quando fui estudar em São Paulo eu juro que não sei 	 Nao
AVzAYoq1mhia5XS5OH0-	Ai vc sai dá quentura de Brasília e pega 20 ° C em São Paulo 	 Nao
AVzAYUP9mhia5XS5Nvhk	Saudades de Lisboa que tira até o ar ( @ Padaria da Esquina in São Paulo , SP w / @apassarelli ) https://t.co/znQmVFJoQp 	 Nao
AVzAZDw0mhia5XS5OmRN	Batendo o ponto ( @ Bassano Restaurante in São Paulo , SP ) https://t.co/u0BYGbFYb9 	 Nao
AVzAaHm4mhia5XS5Py6J	@ Na Área ! 🏃 🏿 🏋 🏿 ( @ Cidade Jardim in São Paulo , SP ) https://t.co/Zg3EPfgLrp 	 Nao
AVzAaHSjmhia5XS5PyiH	Assistir São Paulo X São Bento - AO VIVO 21 / 02 / 17 https://t.co/zVFiPHJ8Dw https://t.co/LTsTL4I109 	 Sim
AVzAZ_Grmhia5XS5PpUP	Incêndio atinge favela de Paraisópolis , em São Paulo https://t.co/1V9rdYKnLZ 	 Nao
AVzAaB5xmhia5XS5Prt4	A nossa amada São Paulo está cada dia mais linda . https://t.co/SpEGnoLYVG 	 Nao
AVzAZ1obmhia5XS5PeOY	Queria era ta vendo o jogo do são Paulo 	 Sim
AVzAYGBgmhia5XS5NfzE	HOJE É DIA DE SÃO PAULO !!!! 🇾 🇪 🇾 🇪 	 Sim
AVzAYTMjmhia5XS5NvCG	SPAnet vai conectar toda a pesquisa astronômica realizada em São Paulo https://t.co/rqOpj7gECR 	 Nao
AVzAZJS0mhia5XS5OsHj	Auxiliar de Manutenção Geral - Empresa Confidencial - São Paulo , SP https://t.co/sXTtsM8Xhh 	 Nao
AVzAZyW-mhia5XS5PZ7V	EU TE AMO SÃO PAULO ❤ 	 Sim
AVzAYjLhmhia5XS5OB38	I ' m at São Paulo - @saopaulo_agora in São Paulo https://t.co/foq36CBAby 	 Nao
AVzAYHvSmhia5XS5Nh_g	💪 🏽 💪 🏽 💪 🏽 ( @ Vita Sport Academia in São Paulo ) https://t.co/MFrV05PLCC 	 Nao
AVzAZ65umhia5XS5PjwR	No Maranhão o comunista Flávio Dino seu aumento de salário aos professores , em São Paulo e no Rio , os capitalistas ... https://t.co/dKG6vkbdu0 	 Nao
AVzAZEUgmhia5XS5OnFI	dei risada assistindo o jogo do São Paulo KKKKKK tô rindo mas é preocupante o Dênis no gol 	 Sim
AVzAZf5zmhia5XS5PFCq	gol do sao paulo 	 Sim
AVzAZliRmhia5XS5PLE8	são paulo é putinha de todo mundo em qualquer lugar https://t.co/qQMvnTZ9k0 	 Sim
AVzAZEgVmhia5XS5OnRU	Prefeitura disponibiliza guia de práticas para espaços públicos de São Paulo https://t.co/7fA3Pgz2dZ 	 Nao
AVzAY-6Wmhia5XS5OgzG	I ' m at Café Moinho in São Paulo , SP https://t.co/SmKOe7bUoq 	 Nao
AVzAYMRhmhia5XS5NmZb	Será que Dona Leila gostou do décimo lugar da Mancha - Crefisa Verde no carnaval de São Paulo ? Ficou atrás até da Gaviões que foi nona . 	 Nao
AVzAaXDWmhia5XS5QDrt	I ' m at Franquia Hinode Itanhaém in Itanhaém , São Paulo https://t.co/UNBJSPczUI 	 Nao
AVzAY2bLmhia5XS5OXhY	Vagas p / Estágio em Gestão de Viagens Corporativas - SAINT GOBAIN - CSC / DELEGAÇÃO - São Paulo / SP - https://t.co/JCPBwQnR7x 	 Nao
AVzAaYt0mhia5XS5QF8K	😏 @ São Paulo , Brazil https://t.co/aap5KYNgrC 	 Nao
AVzAZHDnmhia5XS5Oqrh	Anchieta segue lenta , sentido São Paulo , do km 19 ao km 17 e do km 11 ao km 10 , devido ao excesso de veículos . - https://t.co/DBPktuJdCA 	 Nao
AVzAZW3pmhia5XS5O6vV	São Paulo continua sem goleiro ! Nenhum dos dois está prestando ! São pessimamente nivelados por baixo ! Dênis chega a dar dó , horrível ! 	 Sim
AVzAZ9jDmhia5XS5PnQ1	o importante amigão é que amanhã tem São paulo isso que importa 	 Sim
AVzAZG4Ymhia5XS5OqdZ	Tenho certeza que o Corinthians NÃO vai conseguir fazer gol contra o São Paulo . 	 Sim
AVzAYSgvmhia5XS5Nugr	I ' m at @ReisOfficeReal in Guarulhos , São Paulo https://t.co/gTevgRzXsf 	 Nao
AVzAZWCQmhia5XS5O5n2	Gostei de um vídeo @YouTube https://t.co/8yQ2ysvqRk boa atuação de Renan Ribeiro , São Paulo empata com o Ituano 	 Sim
AVzAY20smhia5XS5OYGL	@oedantas agora eu sei que maxwell vai vir pro São Paulo no meio do ano 	 Sim
AVzAZWS-mhia5XS5O6AJ	QUE JOGÃO HEIN SÃO PAULO . 10min do primeiro tempo e já fez 1X0 	 Sim
AVzAYtdzmhia5XS5OM0I	@taesperto são paulo ta frio kkkkk 	 Nao
AVzAaPlFmhia5XS5P7sm	@jubelloo é do terminal São Paulo meu amor 	 Nao
AVzAYHF0mhia5XS5NhGV	Logan ! ( at @CinemarkOficial for Logan in São Paulo , SP ) https://t.co/TPca3mEU2l 	 Nao
AVzAYqDUmhia5XS5OJjU	I ' m at Moema - @sp_prefeitura in São Paulo , SP https://t.co/RGAC9Yv5sA 	 Nao
AVzAY12Smhia5XS5OW1h	Meu tricolor mias uma vitória rumo ao título inédito vamo São Paulo 	 Sim
AVzAYsQEmhia5XS5OMSS	I ' m at Spot in São Paulo , SP https://t.co/Ac1ZfFHKpl 	 Nao
AVzAaN-xmhia5XS5P5kH	Juro ser eu tivesse dinheiro eu iria pra São Paulo pra casa do meu tio .. 	 Nao
AVzAaSW5mhia5XS5P_Kk	Esse aí é o que está articulando para que rádios comunitárias coloquem a doutrinação da Cartilha Foro São Paulo pro … https://t.co/6moPRPXHVz 	 Nao
AVzAZxtbmhia5XS5PZEP	Me mudei para São Paulo em busca de um sonho e hoje já comi uns 200 ... 	 Nao
AVzAZ65umhia5XS5Pjwd	PRIMEIRA DELEGACIA DE CRIMES CONTRA ANIMAIS SÃO PAULO : ( 11 ) 3337-5746 / ( 11 ) 3331-8969 Não compartilhe , copie e cole ♡ . 	 Nao
AVzAaFvGmhia5XS5PwXt	Hoje tem são Paulo ❤ 	 Sim
AVzAYmfxmhia5XS5OE9S	São Paulo empata com ABC - RN e se classifica https://t.co/rCK7hFzJQJ 	 Sim
AVzAZopimhia5XS5PO5A	I ' m at @EazyClub in São Paulo , SP https://t.co/5WvSBMB5fx 	 Nao
AVzAZiO7mhia5XS5PIHr	I ' m at Aeroporto de São Paulo / Congonhas in São Paulo , SP https://t.co/xtr94Qsqx6 https://t.co/Ei1B5vG1dW 	 Nao
AVzAYYrFmhia5XS5N1Vf	Metroviários de São Paulo confirmam paralisação de 24 horas na quarta - feira https://t.co/hl2BdaAiws 	 Nao
AVzAZQkCmhia5XS5O0UI	Curtinhas da Vitória : São Paulo 4 x 1 Santo André https://t.co/R88slsdwXN https://t.co/iuG40u02k4 	 Sim
AVzAZhesmhia5XS5PHJx	DIÁRIO DE VIAGEM - SÃO PAULO | WEND AVLLYS : https://t.co/ug6LWxHHFh via @YouTube 	 Nao
AVzAZ4VGmhia5XS5PgnN	I ' m at Nível A - @nivel_a in São Paulo , SP https://t.co/L73IH2J80S 	 Nao
AVzAZwj9mhia5XS5PXqR	I ' m at Parque Santa Tereza in são paulo https://t.co/Mt037uV5Wk 	 Nao
AVzAZ65smhia5XS5Pjqr	Torcedorescom : São Paulo recebe time que ainda não venceu na Copa do Brasil https://t.co/7vD1slDShx https://t.co/imjeM7BYUv 	 Sim
AVzAaPxAmhia5XS5P71e	Chuva de granizo cria efeito ' neve ' em rua do Centro de São Paulo https://t.co/Vibk0N8EYq 	 Nao
AVzAaIkDmhia5XS5P0BV	Quarta Feira começa a Libertadores dos times de São Paulo o Palmeiras e o Santos representa o futebol Paulista já os Gambas.e os Bambis.kkkk 	 Sim
AVzAZigbmhia5XS5PIfj	Gostei de um vídeo @YouTube de @milspfc https://t.co/zy5xDVjzcK SÃO PAULO 3 X 1 ABC - NARRAÇÃO COPA DO BRASIL 2017 	 Sim
AVzAZ3mWmhia5XS5PfrM	Eventos em São Paulo debatem desafios da Odontologia atual . A evolução da prática odontológica nas últimas ... https://t.co/g8o6RkHdzs 	 Nao
AVzAYzLimhia5XS5OUOy	Vagas p / Vistoriador de imóveis - https://t.co/Jo8QWYmOLv - São Paulo / SP - https://t.co/BAdaWFyQJV 	 Nao
AVzAZXCWmhia5XS5O65y	Falta quanto tempo pra treta na apuração do carnaval de São Paulo ? 	 Nao
AVzAZEagmhia5XS5OnKK	#bbtiteerrado deixa perder para o Paraguai em são Paulo pra ver as torcidas do santos Palmeiras e são Paulo o que vão fazer ! 	 Sim
AVzAZCPHmhia5XS5Oki6	I ' m at Praça Silva Teles in São Paulo , SP https://t.co/bCgY4wEcOo 	 Nao
AVzAZBJjmhia5XS5OjFd	Um novo polo do Carnaval ? : Participação de turistas em blocos de São Paulo … https://t.co/lwwlZpn5vV #BetaAjudaBeta … https://t.co/twgFsYyM8E 	 Nao
AVzAZ4Dtmhia5XS5PgRG	Manifestantes interditam Avenida do Estado , em São Paulo - https://t.co/tTIxZhALPr https://t.co/1EzaqSztLc 	 Nao
AVzAZXNimhia5XS5O7Mv	I ' m at Bailoni Auto Center in São Paulo , SP https://t.co/XZ8Ufl5ey9 	 Nao
AVzAYHRVmhia5XS5NhVf	@SPFCDigital O São Paulo precisa de treinado de Goleiro vcs concordam ? Tem que colocar um técnico pra modificar as coisas no SP 	 Sim
AVzAZB3rmhia5XS5OkE0	Com seleção e gols , Lucas Pratto tem início dos sonhos no São Paulo https://t.co/sdQ4mOGH3J 	 Sim
AVzAZYb6mhia5XS5O8wC	volta logo pra sao paulo ou eu vou madri 	 Nao
AVzAaMTimhia5XS5P3r-	Um passo de cada vez ... @ Cidade de Americana - São Paulo https://t.co/ktWz5Oo917 	 Nao
AVzAaZqTmhia5XS5QHKk	Hola Mirta ! Buena notche . Um grand saludo desde São Paulo ! Abrazos en el corazon amiga ! https://t.co/X7UDqb2s4r 	 Nao
AVzAYSUKmhia5XS5NuSE	Fashion Show ELLUS . 45 anos de vida ... 🕺 🏼 💃 🏻 #nalvarenga #ellusjeansdeluxe #ellus @ São Paulo … https://t.co/zhvkWUdUgi 	 Nao
AVzAZWmimhia5XS5O6Yd	Está procurando um imóvel para locação ou venda em São Paulo ? Acesse nosso site e descubra algumas opções , ... https://t.co/a1vnw469OH 	 Nao
AVzAZ6uXmhia5XS5Pjcv	Lei que pune pichadores em São Paulo é sancionada https://t.co/g8aAKGSUMA 	 Nao
AVzAZEUfmhia5XS5OnBN	3 letras incríveis de Jake Bugg - Cantor inglês vem ao Brasil para três shows em São Paulo , Rio de Janeiro e Be ... https://t.co/iiJfRwnfXn 	 Nao
AVzAaT4Dmhia5XS5QBHs	PRIMEIRA DELEGACIA DE CRIMES CONTRA ANIMAIS SÃO PAULO : ( 11 ) 3337-5746 / ( 11 ) 3331-8969 Não compartilhe , copie e cole . ♥ ️ 	 Nao
AVzAaTNLmhia5XS5QAPF	São Paulo from above #saopaulo #brasil #view #landscape #building #river #travel @ Pinheiros https://t.co/Cs7WzUCDqI 	 Nao
AVzAYgdnmhia5XS5N-XN	Tô desanimada da vida , o que me anima é saber que amanhã vou pro jogo do São Paulo de novo ❤ ️ 	 Sim
AVzAZxgamhia5XS5PY1w	I ' m at Divino Frango in São Paulo w / @deaguisa @douglasfiguei @maeliza9 https://t.co/g6KM8a7Qbe 	 Nao
AVzAZBr7mhia5XS5Oj7P	COM BETERRABA ! 😱 🤔 😍 - Drinking a Dom Napoleão by @cervejariadomhaus @ São Paulo Tap House — https://t.co/xvvnLI8Jsn 	 Nao
AVzAYODcmhia5XS5NopU	Já passou um monte de Term Pinheiros mas nada de Cidade Universitária por que faz isso São Paulo 	 Nao
AVzAYYOjmhia5XS5N0zH	#bomdiafoxquarta eu acredito na eliminação do são Paulo 	 Sim
AVzAZzGXmhia5XS5Pa6N	I ' m at Academia Competition in São Paulo , SP https://t.co/JgfqIOKwHL 	 Nao
AVzAaY_omhia5XS5QGSt	I ' m at Jardim Cruzeiro in Bebedouro , São Paulo https://t.co/7yrwhpoDjX https://t.co/b7alJTenEP 	 Nao
AVzAYXCamhia5XS5NzKD	Esse álbum do maneva em São Paulo tá mt bom mano 	 Nao
AVzAYz-Jmhia5XS5OVTV	Camarote cai durante show sertanejo e deixa 27 feridos no interior de São Paulo https://t.co/7nC1H2bjto https://t.co/3SLTFijiRS 	 Nao
AVzAZg_hmhia5XS5PGhq	Daqui a pouco partiu São Paulo ✈ Gravação !!! — se sentindo muito feliz 	 Nao
AVzAZLL_mhia5XS5OuPJ	Vagas p / Consultor de Implantação Sênior - ProPay - São Paulo / SP - https://t.co/E3oLKYnuUU 	 Nao
AVzAZNjrmhia5XS5Owsn	Apartamento 3 dorm ( s ) - Tatuapé - São Paulo , SP - Venda : R $ 740.000 , 00 https://t.co/nPmJRbUaMa 	 Nao
AVzAZFuJmhia5XS5OpA1	São Paulo passou 45 minutos sem tomar gol , não sei se fico feliz ou choro de emoção 	 Sim
AVzAaEOymhia5XS5PuXD	@SaoPauloFC sao paulo 2x breno 2 q negação 	 Sim
AVzAaYWmmhia5XS5QFXL	That was so Sao Paulo FC https://t.co/TRjGmC1zlY 	 Sim
AVzAZY3nmhia5XS5O9GD	SAO PAULO 9 X 3 VASCO 	 Sim
AVzAYjiJmhia5XS5OCXB	I ' m at Colchões Ortobom - POÁ in Poá , São Paulo https://t.co/ZgSL2ayUC8 	 Nao
AVzAZK22mhia5XS5Ot2V	Follmann joga vôlei sentado e conhece projeto paralímpico em São Paulo . #ForçaChape https://t.co/SOwPfqLc00 via @JornalExtra 	 Nao
AVzAaJ9jmhia5XS5P16S	Gostei de um vídeo @YouTube de @ickfd https://t.co/krNBuGrKCi MEU CARRO NOVO | SÃO PAULO | DANI NOCE VIAJA 	 Nao
AVzAYaWtmhia5XS5N3i0	Será que nunca teremos uma conversa sadia que não acabe em Manella x Jardim São Paulo ??? 	 Nao
AVzAYx0gmhia5XS5OSka	Mas joga no São Paulo né , lá todo jogador mediano é semi Deus , se jogar aqui não presta . https://t.co/RTyGv8AmKn 	 Sim
AVzAZaZZmhia5XS5O-gL	Que isso mano , Região oceânica ta pior que São Paulo !!! Transito fdp 	 Nao
AVzAYql-mhia5XS5OKRl	Just posted a photo @ Jardim Avelino , São Paulo https://t.co/9nPBwCMFiK 	 Nao
AVzAY04Imhia5XS5OWTW	#bomdiafoxquarta hoje tem São Paulo e hoje eu tô lá no frasquerao na torcida pelo meu tricolor 	 Sim
AVzAYvp0mhia5XS5OPtJ	Vagas p / Executivo de Vendas - Governo - Vogel Telecom - São Paulo / SP - https://t.co/34fuMREs5E 	 Nao
AVzAaRl6mhia5XS5P-J7	PODE SER CAMPEONATO PAULISTA LIBERTADORES QUANDO DISPUTA BRASILEIRO SUL - AMERICANA QUANDO TEM GOL DO SÃO PAULO COMEMORO MUITO ! 	 Sim
AVzAZz1hmhia5XS5Pb5N	EU SOU A GAROTA MAIS BONITA DE SAO PAULO #CHUPAJULIA 	 Nao
AVzAY0Etmhia5XS5OVeY	@folha Eu : É mermo é ? Folha de são paulo : É Eu : FODA - SE ( musica funk dos anos 2000 no fundo ) 	 Nao
AVzAY7cImhia5XS5Od4M	oa broquete de sao paulo estao TOPPPPP 	 Nao
AVzAYfbPmhia5XS5N9Ae	o mercado imobiliário pegando fogo em são paulo 🔥 🚒 	 Nao
AVzAZMZ8mhia5XS5Ovn3	1 a 1 contra o Ituano : São Paulo sofre e só empata com pior ataque do Paulista https://t.co/U3pEYER3go https://t.co/oO1wLl1jz5 	 Sim
AVzAY-mhmhia5XS5OgdT	Hoje é dia de São Paulo dia de libertadores dia de Champions 	 Sim
AVzAYVcMmhia5XS5NxDl	ABC RN vs Sao Paulo Soccer Live Stream – Copa Do Brasil https://t.co/m5W4jDLfqm https://t.co/pLqE1bOzj4 	 Sim
AVzAYiPFmhia5XS5OAik	I ' m at Baked Potato in São Paulo , SP https://t.co/BwcphhsHnb 	 Nao
AVzAZVS3mhia5XS5O4ka	Um pouco mais de amor ... @ Americana , Sao Paulo https://t.co/K8jdQZgNky 	 Nao
AVzAYJe2mhia5XS5Njfy	Acadêmicos do Tatuapé vence no grupo especial do carnaval de São Paulo . Mais informações em instantes . . #ApuracaoSP #CarnavalSP #G1 	 Nao
AVzAYUWwmhia5XS5Nvm6	I ' m at Faixas e Toldos in São Paulo w / @deaguisa @maeliza9 @douglasfiguei @lindaalcileia https://t.co/P037Cui9It 	 Nao
AVzAaPf3mhia5XS5P7hg	" Nasa descobre 7 novos planetas com temperaturas que vão de 0 a 100 graus centígrados " Ah tranquilo , igualzinho a São Paulo então 	 Nao
AVzAYgLCmhia5XS5N9-k	Vejam o que o que Sérgio Reis escreveu hoje no Jornal Diário de São Paulo . Sérgio Reis , Cantor Sertanejo em ... https://t.co/CGokNJIrP4 	 Nao
AVzAYwi0mhia5XS5OQ5E	Da uma saudadinha dozamigo ( a ) de São Paulo ... 	 Nao
AVzAZFjAmhia5XS5Oovr	Fresno , Scalene e Dona Cislene juntos em São Paulo no mês de março , saiba mais no link , https://t.co/gGprvhbjII 	 Nao
AVzAY7y-mhia5XS5OeZo	Pra você : 5 vagas vendedor ( produtos veterinários ) , São Paulo – SP https://t.co/8hcubQDxOg #empregonoagro 	 Nao
AVzAZzfImhia5XS5PbdP	Gostei de um vídeo @YouTube https://t.co/0p0MB0jVGQ | Hugh Jackman ao vivo em São Paulo - TrailerOffice 	 Nao
AVzAY8FMmhia5XS5Oes3	#bluespaceano21 #bluespace @ Boate Blue space são paulo https://t.co/LbLykczvIY 	 Nao
AVzAYzt7mhia5XS5OU7h	Assine para exigir uma lei contra fogos de artifício em São Paulo ! Eles causam graves efeitos nos ... https://t.co/mhFXAUynwH via @change_br 	 Nao
AVzAZ2Dzmhia5XS5Pesm	Brasil botons boton pins crachas ( 31 ) 3032-8355 #Botons # BH Sao Paulo https://t.co/zvWlnAnq8v ( 11 ) 2877-8408 Bot … https://t.co/KXPUGaMWoX 	 Nao
AVzAZvXwmhia5XS5PWDc	❤ ❤ 🏝 @ Morro de São Paulo Bahia Brasil https://t.co/N2lhfWfZZl 	 Nao
AVzAZDPGmhia5XS5Oluu	@whindersson QUANDO VOCÊ VEM PARA SÃO PAULO / SÃO PAULO 	 Nao
AVzAY6k0mhia5XS5Ocx5	vamo são paulo 	 Sim
AVzAaRThmhia5XS5P9zE	Já chove em várias rodovias que cortam São Paulo . Cuidado com visibilidade e pistas molhadas ! #seumelhorcaminho https://t.co/q2aCZRRMPm 	 Nao
AVzAaS2pmhia5XS5P_wZ	Compre este quadro com a obra São Paulo - City de Lucas Matos Santana Personalize como … https://t.co/W5WMN0fojf 	 Nao
AVzAZf09mhia5XS5PFA8	Cidade entra em estado de atenção para alagamentos - Veja São Paulo https://t.co/V0TcUHj3aA 	 Nao
AVzAaPIbmhia5XS5P7AT	Eu quero ir p são paulo no meio do ano mas meu pai n tá colaborando 	 Nao
AVzAZGUGmhia5XS5Opvf	Christopher comentando na minha foto e a saudade São Paulo e dos amigos de lá só aumenta 	 Nao
AVzAaRCDmhia5XS5P9d6	Biel atendendo fãs ontem ( 15 ) , na Rádio Transcontinental , em Mogi das Cruzes , São Paulo . 📷 : @taathyaraujo . ❤ https://t.co/OSAYCjjYfp 	 Nao
AVzAZePqmhia5XS5PC3w	A defesa do São Paulo , com o devido respeito , não é lá essas coisas toda . Para alguns , uma autêntica " peneira " . 	 Sim
AVzAZldpmhia5XS5PK8K	Vagas p / Gestor de Contas - Proativa RH - São Paulo / SP - https://t.co/k1ESmhskou 	 Nao
AVzAZM-nmhia5XS5OwMu	Sete escolas de samba do Grupo Especial abrem o carnaval de São Paulo https://t.co/zQrHFTNop8 	 Nao
AVzAYYH3mhia5XS5N0nu	Com lombalgia , Sidão desfalca São Paulo contra o ABC ; Denis joga https://t.co/P5qzEbt2QD 	 Sim
AVzAYUEhmhia5XS5NvSF	🌨 eu sou a pessoa mais feliz de são paulo 🌨 https://t.co/VgsKZ4u8Kv 	 Nao
AVzAaKO9mhia5XS5P2Tl	O MP de São Paulo é do estado ou do governo ? https://t.co/KjpTnUHXjJ 	 Nao
AVzAZCEimhia5XS5OkVD	Motorista encontra lentidão no Planalto da Via Anchieta , sentido São Paulo , do km 13 ao km 10 , devido ao excesso de veículos . 	 Nao
AVzAYRl5mhia5XS5NtTt	I ' m at EMEE Vera Lúcia in Säo Paulo , São Paulo https://t.co/DH1hYpOy7P 	 Nao
AVzAZDPFmhia5XS5Olpu	Brasil botons boton pins crachas ( 31 ) 3032-8355 #Botons # BH Sao Paulo https://t.co/zvWlnAF1x5 ( 11 ) 2877-8408 Bot … https://t.co/omBwQ87Rpg 	 Nao
